                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5396,                 2.2101,                 1.5108,                0.80227,                0.78614,                0.69928,                0.48315,                 1.0496,                 11.252,                 1.2662,               0.003317,               0.003317,               0.003317
                      2,                 1.2545,                 1.0029,                 1.2874,                0.81037,                0.78929,                0.71394,                0.49558,                 1.0168,                 4.3166,                 1.1901,              0.0066284,              0.0066284,              0.0066284
                      3,                 1.1693,                0.79351,                 1.2312,                0.82272,                0.81251,                0.72766,                0.50909,                0.98633,                 4.3382,                 1.1396,              0.0099178,              0.0099178,              0.0099178
                      4,                  1.132,                0.66546,                  1.209,                0.84376,                0.83797,                0.75187,                0.55197,                0.85871,                 2.3804,                   1.07,               0.009901,               0.009901,               0.009901
                      5,                 1.1008,                0.59095,                 1.1986,                0.85419,                0.84706,                 0.7818,                0.59799,                0.80287,                 1.5122,                 1.0458,               0.009901,               0.009901,               0.009901
                      6,                 1.0668,                0.56012,                 1.1763,                0.85495,                0.85071,                0.76302,                0.57541,                0.82937,                 1.2886,                 1.0349,               0.009868,               0.009868,               0.009868
                      7,                 1.0676,                0.54564,                  1.182,                0.85188,                0.84719,                0.81154,                 0.6347,                0.77395,                 1.1272,                 1.0168,               0.009835,               0.009835,               0.009835
                      8,                 1.0547,                0.53717,                 1.1719,                0.84217,                 0.8471,                0.78016,                0.59174,                0.85774,                 1.2585,                 1.0531,               0.009802,               0.009802,               0.009802
                      9,                 1.0198,                0.51898,                 1.1535,                0.83737,                0.83773,                0.76058,                0.52418,                 1.0419,                 1.2676,                 1.1606,               0.009769,               0.009769,               0.009769
                     10,                 1.0162,                0.51564,                 1.1545,                0.85515,                0.84572,                0.79122,                0.62378,                0.79296,                 1.2983,                 1.0137,               0.009736,               0.009736,               0.009736
                     11,                 1.0043,                0.50448,                 1.1452,                0.85395,                0.83222,                0.80734,                0.63583,                0.81783,                 1.1867,                 1.0246,               0.009703,               0.009703,               0.009703
                     12,                0.97645,                0.48604,                 1.1282,                0.85347,                0.84758,                 0.8275,                0.66064,                0.75772,                 1.0666,                 1.0093,                0.00967,                0.00967,                0.00967
                     13,                0.98468,                0.49084,                 1.1375,                0.85654,                0.84227,                0.82307,                 0.6658,                 0.7655,                 1.1295,                 1.0155,               0.009637,               0.009637,               0.009637
                     14,                0.98043,                0.47795,                 1.1285,                0.85018,                0.84484,                0.82142,                0.66104,                0.73898,                  1.337,                0.99115,               0.009604,               0.009604,               0.009604
                     15,                0.97349,                0.47693,                 1.1282,                0.85103,                0.85392,                0.79742,                0.64177,                0.74879,                 1.2028,                 1.0096,               0.009571,               0.009571,               0.009571
                     16,                0.96251,                0.47367,                 1.1248,                0.85314,                0.84853,                0.79361,                0.64575,                0.72218,                 1.0949,                0.98794,               0.009538,               0.009538,               0.009538
                     17,                0.95035,                0.47102,                 1.1151,                0.84418,                0.86048,                0.81395,                0.64583,                0.78626,                 1.1357,                 1.0223,               0.009505,               0.009505,               0.009505
                     18,                0.93615,                0.46334,                 1.1151,                0.84717,                0.85039,                0.82225,                0.63127,                0.87278,                 1.1069,                 1.0645,               0.009472,               0.009472,               0.009472
