                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3083,                0.56652,                 1.4258,                0.79276,                0.78659,                0.72262,                0.54713,                0.95612,                 1.9909,                 1.2168,               0.003317,               0.003317,               0.003317
                      2,                 1.1173,                0.45403,                 1.2692,                0.84007,                0.85766,                  0.785,                0.59994,                0.89115,                  1.554,                 1.0704,              0.0066284,              0.0066284,              0.0066284
                      3,                 1.0545,                0.45275,                 1.2238,                0.82751,                0.84797,                0.79262,                 0.6105,                0.87515,                 1.2663,                 1.0756,              0.0099178,              0.0099178,              0.0099178
                      4,                  1.037,                 0.4608,                 1.2175,                0.83238,                 0.8445,                0.80101,                 0.6174,                0.88966,                  1.199,                 1.0958,               0.009901,               0.009901,               0.009901
                      5,                 1.0291,                0.45527,                 1.2122,                0.81086,                0.84483,                0.76286,                0.59092,                0.78743,                 2.4588,                 1.0371,               0.009901,               0.009901,               0.009901
                      6,                 1.0027,                0.45401,                 1.1947,                0.84495,                0.85725,                0.80143,                0.63978,                0.77814,                 1.4202,                 0.9918,               0.009868,               0.009868,               0.009868
                      7,                 1.0143,                0.45369,                 1.2001,                 0.8481,                0.85367,                0.80982,                0.62702,                0.81993,                 1.0265,                 1.0127,               0.009835,               0.009835,               0.009835
                      8,                0.99018,                0.45422,                 1.1907,                0.84337,                0.85988,                  0.798,                0.65961,                0.71114,                 1.1667,                0.96582,               0.009802,               0.009802,               0.009802
                      9,                 0.9749,                0.45187,                 1.1738,                0.84977,                 0.8567,                0.79266,                0.63481,                0.76805,                 1.2508,                0.97262,               0.009769,               0.009769,               0.009769
                     10,                0.97019,                0.44251,                 1.1756,                0.85315,                0.85321,                0.77666,                   0.61,                0.82392,                 1.2549,                 1.0179,               0.009736,               0.009736,               0.009736
                     11,                0.96536,                0.43698,                 1.1713,                0.85034,                0.84754,                0.80841,                0.67347,                0.67259,                  1.081,                0.94439,               0.009703,               0.009703,               0.009703
                     12,                0.94005,                0.42801,                 1.1609,                0.84832,                0.86471,                0.80813,                 0.6756,                0.69984,                 1.1747,                0.96548,                0.00967,                0.00967,                0.00967
