                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3782,                 5.7168,                 4.3017,                      0,                      0,                      0,                      0,                 3.4631,                 5.7477,                 4.1594,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 3.5393,                 5.7191,                 4.2825,                      0,                      0,                      0,                      0,                  3.463,                 5.7476,                 4.1599,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 3.6501,                 5.6899,                 4.2759,                      0,                      0,                      0,                      0,                 3.4623,                 5.7473,                 4.1603,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 3.5116,                 5.6848,                 4.2681,                      0,                      0,                      0,                      0,                 3.4618,                 5.7479,                 4.1607,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 3.7832,                 5.7365,                 4.2405,                      0,                      0,                      0,                      0,                 3.4613,                 5.7486,                 4.1607,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                  3.583,                 5.6689,                 4.2583,                      0,                      0,                      0,                      0,                 3.4606,                 5.7503,                 4.1603,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 3.5517,                 5.6573,                 4.2492,                      0,                      0,                      0,                      0,                 3.4601,                 5.7514,                 4.1597,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                  3.608,                  5.672,                 4.2294,                      0,                      0,                      0,                      0,                 3.4593,                  5.753,                 4.1589,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 3.6043,                 5.6592,                  4.237,                      0,                      0,                      0,                      0,                  3.458,                 5.7556,                 4.1576,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 3.6073,                  5.614,                 4.2221,                      0,                      0,                      0,                      0,                 3.4575,                 5.7569,                 4.1563,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 3.6072,                 5.6131,                 4.2034,                      0,                      0,                      0,                      0,                 3.4568,                 5.7583,                 4.1533,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 3.6115,                 5.5902,                 4.2063,                      0,                      0,                      0,                      0,                 3.4562,                 5.7607,                 4.1505,             0.00010074,             0.00010074,             0.00010074
                     13,                  3.567,                 5.6257,                  4.194,                      0,                      0,                      0,                      0,                 3.4568,                 5.7618,                 4.1474,             0.00010486,             0.00010486,             0.00010486
                     14,                  3.488,                 5.6075,                 4.1808,                      0,                      0,                      0,                      0,                 3.4562,                 5.7635,                  4.143,             0.00010486,             0.00010486,             0.00010486
                     15,                 3.6541,                  5.564,                 4.1823,                      0,                      0,                      0,                      0,                 3.4542,                 5.7647,                 4.1386,             0.00010368,             0.00010368,             0.00010368
                     16,                 3.5949,                 5.6337,                 4.1741,                      0,                      0,                      0,                      0,                 3.4501,                 5.7646,                 4.1337,             0.00010251,             0.00010251,             0.00010251
                     17,                 3.5637,                 5.5407,                 4.1609,                      0,                      0,                      0,                      0,                 3.4468,                 5.7606,                 4.1276,             0.00010133,             0.00010133,             0.00010133
                     18,                 3.6082,                 5.5814,                 4.1589,                0.00011,                0.00094,                  7e-05,                  3e-05,                 3.4407,                 5.7497,                 4.1204,             0.00010015,             0.00010015,             0.00010015
                     19,                 3.5604,                 5.5078,                 4.1562,                  9e-05,                0.00144,                  5e-05,                  2e-05,                 3.4329,                 5.7292,                 4.1125,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                 3.5659,                 5.5804,                 4.1505,                  9e-05,                0.00161,                  5e-05,                  2e-05,                 3.4233,                 5.7002,                 4.1063,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                 3.5371,                 5.5005,                 4.1481,                  8e-05,                0.00144,                  5e-05,                  2e-05,                 3.4121,                 5.6621,                 4.1008,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                 3.5427,                 5.4879,                 4.1428,                  7e-05,                0.00144,                  4e-05,                  2e-05,                 3.3986,                 5.6174,                 4.0975,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                 3.6055,                 5.5461,                 4.1357,                0.00477,                0.00356,                0.00307,                0.00032,                 3.3889,                 5.5731,                 4.0945,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                 3.5945,                 5.5484,                 4.1283,                0.00183,                 0.0039,                0.00186,                0.00027,                 3.3835,                 5.5377,                 4.0948,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                 3.5548,                 5.4608,                 4.1375,                0.00119,                0.00385,                 0.0026,                 0.0003,                  3.376,                 5.5162,                 4.0958,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                 3.5494,                 5.4585,                 4.1224,                0.00183,                0.00426,                0.00114,                0.00012,                 3.3691,                 5.4935,                 4.0953,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                 3.6462,                   5.48,                 4.1246,                0.00181,                0.00763,                 0.0013,                0.00024,                 3.3613,                 5.4709,                 4.0944,             8.9547e-05,             8.9547e-05,             8.9547e-05
