                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3258,                 3.8679,                 3.8476,                  4e-05,                0.00543,                  2e-05,                      0,                 3.1101,                 4.4718,                 3.8698,             0.00047066,             0.00047066,             0.00047066
                      2,                 2.8075,                 2.7995,                  2.884,                 0.4374,                0.11004,                0.06158,                0.01739,                  2.989,                 5.4463,                  3.017,             0.00093528,             0.00093528,             0.00093528
                      3,                 2.3902,                 2.2519,                 2.4689,                0.56691,                0.56389,                0.61485,                0.25701,                 2.0732,                  2.366,                 2.2204,              0.0013881,              0.0013881,              0.0013881
                      4,                 2.1513,                 1.8953,                 2.2334,                0.74305,                0.70706,                0.72254,                0.37999,                 1.8106,                 1.6846,                 1.9537,              0.0013759,              0.0013759,              0.0013759
                      5,                 1.9788,                 1.6553,                 2.0597,                0.70754,                0.67219,                0.73743,                 0.4138,                 1.6262,                 1.7739,                 1.7906,              0.0013759,              0.0013759,              0.0013759
                      6,                 1.8774,                 1.4607,                 1.9501,                0.86747,                0.78087,                0.85437,                0.49614,                 1.4895,                 1.6384,                 1.6562,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.8171,                 1.3253,                 1.8843,                0.84863,                0.72164,                0.80723,                0.42694,                 1.6101,                 1.2961,                 1.7397,              0.0013406,              0.0013406,              0.0013406
                      8,                  1.804,                 1.3146,                 1.8839,                0.77783,                0.74632,                0.82141,                0.45553,                 1.5168,                 1.4369,                 1.6429,              0.0013229,              0.0013229,              0.0013229
                      9,                 1.7161,                 1.2096,                 1.8091,                0.79766,                0.81597,                0.89797,                0.45643,                 1.5749,                 1.2928,                  1.776,              0.0013052,              0.0013052,              0.0013052
                     10,                 1.7001,                 1.1713,                 1.7877,                0.91516,                0.82203,                 0.8954,                0.56978,                 1.3185,                 1.0136,                 1.5381,              0.0012875,              0.0012875,              0.0012875
                     11,                 1.6553,                 1.0946,                 1.7384,                0.88291,                0.82179,                0.90325,                0.53901,                 1.3755,                 1.1579,                 1.5448,              0.0012698,              0.0012698,              0.0012698
                     12,                 1.6522,                 1.0669,                 1.7413,                0.92062,                0.84886,                0.91889,                0.54586,                 1.4154,                0.98464,                 1.5692,              0.0012522,              0.0012522,              0.0012522
                     13,                 1.5997,                 1.0104,                 1.6828,                0.91703,                0.87659,                0.93745,                  0.571,                 1.3327,                0.88763,                 1.5221,              0.0012345,              0.0012345,              0.0012345
                     14,                 1.5854,                 0.9992,                 1.6869,                0.87098,                 0.8685,                0.92974,                0.56324,                 1.3395,                0.87309,                 1.5258,              0.0012168,              0.0012168,              0.0012168
